## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.PublicoAlvo,entity.Tema,Entity.Subtema,Entity.Assuntos,entity.Segmentos,entity.DatasEspeciais,entity.Produtor,entity.perfilusuario,entity.familia,entity.PorteEmpresa,entity.TipoUsuario,entity.codigoCronos
1126,Controle as finanças e tenha mais dinheiro,Artigo,"Com uma boa administração dos recursos, é mais fácil evitar dívidas e investir nos lugares certos para crescer e ter bastante lucro.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/artigo_Controle-as-finanças-e-tenha-mais-dinheiro.png,,"https://www.sebrae.com.br/sites/PortalSebrae/semanadomei2019/conteudos/controle-as-financas-e-tenha-mais-dinheiro,1430103bc7d1b610VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Finanças,Controle Financeiro,Controle As Finanças; Caixa; Finanças,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1127,Inscrição Estadual para MEI,Artigo,"Entenda o que é, como funciona e como manter-se regularizado.",,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ac/artigos/inscricao-estadual-para-mei,37f1b87579937710VgnVCM1000004c00210aRCRD",,,Sim,MEI,Leis,Legislação,,Todos,0,AC,,,MEI,Pessoa Jurídica,
1128,Inteligência emocional e empreendedorismo: uma dupla de sucesso,Artigo,As opções são inúmeras. Escolha a que melhor se encaixa no seu negócio.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_empreendedorismo_inteligencia-emocional-e-empreendedorismo-uma-dupla-de-sucesso_imagem-consultor.jpg.pagespeed.ic.7TnN5USIda.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/inteligencia-emocional-e-empreendedorismo-uma-dupla-de-sucesso,02c601a472a96810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,Empreendedor,Empreendedorismo,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1129,Planilhas para encarar sua gestão sem medo,Artigo,"Empreender não é só ofertar bons produtos e serviços, mas gerenciar gastos, lucro, investimentos. Conte com as nossas ferramentas para uma gestão completa",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/xdestaque-artigo_planilhas_gestao.png.pagespeed.ic.gzB1S80Bp8.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/planilhas-para-encarar-sua-gestao-sem-medo,ecf6c11b063a8710VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Planejamento,Planejamento Estratégico,Monitoramento; Gestão; Gerência; Planilhas; Controle,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1130,Como saber se meu CNPJ do MEI está suspenso?,Artigo,"Preparamos algumas dicas para você descobrir se sua situação como MEI está regularizada e, assim, evitar o cancelamento definitivo do seu CNPJ.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/MS/Banners de CTDs/V1---Como-saber-se-meu-CNPJ-do-mei-está-suspenso.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ms/artigos/como-saber-se-meu-cnpj-do-mei-esta-suspenso,1e8a5a911885f510VgnVCM1000004c00210aRCRD",,,Sim,MEI,Leis,Microempreendedor Individual,,Todos,0,MS,,,MEI,Pessoa Jurídica,
1131,O que acontece se ultrapassar o limite MEI?,Artigo,Entenda o que acontece se você ultrapassar o valor de R$ 81 mil do faturamento MEI.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/resources/img/xsebrae_logo_azul.png.pagespeed.ic.BDIPNtclTd.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/o-que-acontece-se-ultrapassar-o-limite-mei,c4bfffe667039810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Finanças,Controle Financeiro,Mei,Todos,0,AL,,,MEI,Pessoa Jurídica,
1132,Planejamento estratégico: o que é e como fazer para sua empresa,Artigo,"Descubra o que é o planejamento estratégico, por que sua empresa precisa dele e como fazê-lo. Saiba como traçar estratégias para o sucesso do seu negócio.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Semana MEI/Semana do MEI 2024/imagem/logo-conteudosv2.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/planejamento-estrategico-o-que-e-e-como-fazer-para-sua-empresa,eb17af9d324bb810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Planejamento,Planejamento Estratégico,,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1133,Quer ser MEI? Confira o passo a passo para a formalização,Artigo,"Se tornar um Microempreendedor Individual é simples, rápido e gratuito! Faça você mesmo a regularização de seu negócio sem burocracia, através da internet.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_artigo_confira-passo-a-passo-formalizacao-mei.png.pagespeed.ic.dudUibGBEN.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/quer-ser-mei-confira-o-passo-a-passo-para-a-formalizacao,78a284f40349f710VgnVCM100000d701210aRCRD",,,Sim,PF,Empreendedorismo,Microempreendedor Individual,Formalização; Gratuito; Mei; Empreendedor Individual,Todos,0,NA,,,PF,Pessoa Física,
1134,Empréstimo para abrir um negócio próprio: confira o passo a passo!,Artigo,Confira tudo o que você precisa saber antes de realizar o seu empréstimo.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/UFs/PE/Imagens/xsebraepe_sebraepe_image_437.jpeg.pagespeed.ic.eddJYgj4aF.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/pe/artigos/emprestimo-para-abrir-um-negocio-proprio-confira-o-passo-a-passo,dbd8e97b40bc7710VgnVCM100000d701210aRCRD",,,Sim,PF,Finanças,Empréstimo,Finanças; Empréstimos; Gestão Financeira;,Todos,0,PE,,,PF,Pessoa Física,
1135,O que é o fluxo de caixa e como aplicá-lo no seu negócio,Artigo,Aprenda a avaliar as entradas e saídas de recursos e a disponibilidade de capital de giro na sua empresa,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/xImagem_artigo_fluxo-caixa-o-que-como-implantar.png.pagespeed.ic.qwTckSJPQ1.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/fluxo-de-caixa-o-que-e-e-como-implantar,b29e438af1c92410VgnVCM100000b272010aRCRD",,,Sim,MEI; ME; EPP,Finanças,Fluxo De Caixa,Como Fazer Um Fluxo De Caixa; Como Sobrar Dinheiro No Fim Do Mês,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
